City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ngunguru,-35.6167,174.5,68,76,27,1.99,NZ,1612296415
La Santisima Trinidad,-14.8333,-64.9,82.4,83,75,9.22,BO,1612296220
Grand Gaube,-20.0064,57.6608,78.01,83,13,3,MU,1612296415
Mandera,3.9366,41.867,83.5,24,0,8.34,KE,1612296416
Klyuchi,52.2667,79.1667,9.14,94,100,10.13,RU,1612296416
Quatre Cocos,-20.2078,57.7625,80.6,78,40,11.5,MU,1612296416
San Andrés,12.5847,-81.7006,84.2,70,20,13.8,CO,1612296416
Saldanha,-33.0117,17.9442,69.8,60,0,11.5,ZA,1612296398
Oranjemund,-28.55,16.4333,65.97,83,0,4.21,NA,1612296416
Codrington,-38.2667,141.9667,58.28,77,88,7.45,AU,1612296416
Katsuura,35.1333,140.3,42.8,45,0,5.75,JP,1612296416
Buloh Kasap,2.5536,102.764,77,88,20,4.61,MY,1612296416
Nizhnyaya Poyma,56.1622,97.1933,2.57,92,100,3.18,RU,1612296417
Shchelkun,56.3034,60.9483,23,93,40,8.95,RU,1612296417
Sekoma,-24.4,23.8833,67.19,87,100,18.34,BW,1612296417
Biskamzha,53.4497,89.5272,11.26,91,100,4.23,RU,1612296417
Zorritos,-3.6805,-80.6782,86,62,40,8.05,PE,1612296417
Severobaykal'sk,55.65,109.3167,-20.54,77,11,2.77,RU,1612296417
Eydhafushi,5.1033,73.0708,82.09,77,63,16.13,MV,1612296418
Dunedin,-45.8742,170.5036,61,89,50,6.82,NZ,1612296185
Pristen',51.2355,36.6959,30.2,93,90,6.71,RU,1612296418
Fuxin,42.0156,121.6589,2.79,77,3,2.24,CN,1612296418
Rabak,13.1809,32.74,83.07,17,0,10.87,SD,1612296418
Turaif,31.6725,38.6637,55.4,50,38,27.63,SA,1612296418
Ponta Delgada,37.7333,-25.6667,51.8,76,75,25.32,PT,1612296418
Minbu,20.1833,94.8833,59.7,34,0,2.53,MM,1612296418
Balkanabat,39.5108,54.3671,51.57,45,1,14.83,TM,1612296419
Chiredzi,-21.05,31.6667,70.84,87,100,9.35,ZW,1612296419
Katakwi,1.8911,33.9661,73.6,34,94,5.75,UG,1612296419
Suntar,62.1444,117.6319,-36.2,80,96,8.46,RU,1612296419
Gao,16.6362,1.637,72.03,18,0,8.21,ML,1612296401
Kisangani,0.5167,25.2,77.97,59,100,1.72,CD,1612296419
Riyadh,24.6877,46.7219,62.6,31,0,4.61,SA,1612296420
Baharly,38.4362,57.4316,48.18,52,0,11.68,TM,1612296420
San Policarpo,12.1791,125.5072,79.81,81,99,13.4,PH,1612296420
Ingham,42.6,-84.3833,30.99,51,1,12.66,US,1612296420
Mugan,35.9404,101.3842,23.5,46,100,2.44,CN,1612296420
Igatpuri,19.7,73.55,67.55,30,6,4.68,IN,1612296420
Oktyabr'skoye,43.0645,44.7417,26.6,93,88,6.71,RU,1612296421
Garden City,42.3256,-83.331,35.6,51,75,12.66,US,1612296421
Ndélé,8.4109,20.6473,81.75,22,0,2.44,CF,1612296421
Nioro,13.35,-15.75,85.03,12,0,2.59,GM,1612296421
Mehrān,33.1222,46.1646,44.6,57,0,4.61,IR,1612296421
Barcelos,41.5388,-8.6151,55.4,100,90,26.46,PT,1612296421
Burlington,39.8835,-74.6413,34,91,100,1.99,US,1612296325
Yerofey Pavlovich,53.9667,121.9667,-30.3,79,50,3.87,RU,1612296422
Rizhao,35.4275,119.4553,32.09,93,0,6.67,CN,1612296422
Zhigansk,66.7697,123.3711,-31.72,85,100,11.03,RU,1612296422
Spilimbergo,46.1125,12.8969,44.01,84,15,2.1,IT,1612296422
Souillac,-20.5167,57.5167,80.6,78,40,11.5,MU,1612296422
Talnakh,69.4865,88.3972,-11.11,82,99,6.67,RU,1612296422
Nabire,-3.3667,135.4833,75.34,87,100,2.93,ID,1612296422
Fort Beaufort,-32.7748,26.6338,70.79,68,24,4.23,ZA,1612296423
Nhulunbuy,-12.2333,136.7667,78.8,94,100,4.61,AU,1612296423
Wawa,9.9022,4.4192,83.03,19,0,2.21,NG,1612296423
Kushima,31.4583,131.2333,41,52,20,3.44,JP,1612296423
Margate,51.3813,1.3862,51.01,83,17,4,GB,1612296423
Mabaruma,8.2,-59.7833,78.69,80,93,6.44,GY,1612296423
Half Moon Bay,37.4636,-122.4286,59,88,75,8.05,US,1612296423
Ust-Nera,64.5667,143.2,-26.41,76,100,5.35,RU,1612296423
Borovoy,55.4333,86.0833,14,73,0,8.95,RU,1612296423
Ishigaki,24.3448,124.1572,65.5,73,88,24.11,JP,1612296424
Tselinnoye,53.0833,85.6667,16.07,96,100,8.68,RU,1612296424
Yarmouth,41.7057,-70.2286,42.8,93,90,18.41,US,1612296424
Leningradskiy,69.3833,178.4167,-3.37,88,100,21.45,RU,1612296424
Inongo,-1.95,18.2667,78.48,71,100,6.62,CD,1612296424
Durban,-29.8579,31.0292,70,83,75,5.75,ZA,1612296305
Nortelândia,-14.4547,-56.8028,91.69,51,100,3.4,BR,1612296424
Kovernino,57.1253,43.8142,10.99,97,92,4.36,RU,1612296425
Payo,-3.7508,103.6372,73.58,96,100,3.04,ID,1612296425
Ishinomaki,38.4167,141.3,27.66,88,14,8.48,JP,1612296425
Blackfoot,43.1905,-112.345,51.8,37,40,21.85,US,1612296425
Den Helder,52.9599,4.7593,36,93,75,10.36,NL,1612296425
Kurumkan,54.3,110.3,-25.13,72,6,3.15,RU,1612296425
Sault Ste. Marie,46.5168,-84.3333,26.6,46,1,9.22,CA,1612296425
Havelock,34.8791,-76.9013,43,56,90,17.27,US,1612296425
Benemérito de las Américas,16.5167,-90.6439,69.28,73,100,2.59,MX,1612296425
Dalvik,65.9702,-18.5286,8.6,78,0,6.91,IS,1612296426
Newport,51.5877,-2.9984,51.01,94,100,5.01,GB,1612296248
Nampula,-15.1165,39.2666,80.6,69,0,10.36,MZ,1612296426
Altamira,-3.2033,-52.2064,86,70,75,9.22,BR,1612296426
Ixtapa,20.7,-105.2,77,73,75,9.22,MX,1612296426
Kholm,59.2667,32.85,21.33,97,100,5.55,RU,1612296426
Marsh Harbour,26.5412,-77.0636,58.15,70,30,30.56,BS,1612296227
San Juan,-31.5375,-68.5364,74.28,31,87,11.74,AR,1612296426
Sitka,57.0531,-135.33,35.6,64,20,4.61,US,1612296426
Kamari,36.8,25.8167,55.99,100,100,6.91,GR,1612296427
Turka,49.1541,23.0297,37.99,79,96,5.99,UA,1612296427
Hokitika,-42.7167,170.9667,58.89,81,4,0.63,NZ,1612296427
Lae,-6.7221,146.9847,75.99,84,100,10.69,PG,1612296427
Verkhoyansk,67.5447,133.385,-36.38,80,100,3.62,RU,1612296427
Srednekolymsk,67.45,153.6833,-29.16,81,36,1.43,RU,1612296427
Ritchie,-29.038,24.6028,62.6,88,100,8.05,ZA,1612296427
Malanje,-9.5402,16.341,66.96,94,100,4.07,AO,1612296427
Nagua,19.3832,-69.8474,84.2,70,40,6.91,DO,1612296428
Isabela,6.7085,121.9711,78.06,84,95,3.91,PH,1612296428
Bengkulu,-3.8004,102.2655,75.22,89,100,5.86,ID,1612296428
Olot,42.181,2.4901,51.01,70,74,4,ES,1612296428
Praia da Vitória,38.7333,-27.0667,53.6,66,20,27.58,PT,1612296284
Rocha,-34.4833,-54.3333,78.28,69,78,10.27,UY,1612296428
Topeka,39.0483,-95.678,35.6,69,75,10.36,US,1612296428
Owando,-0.4819,15.8999,79.05,71,34,3.11,CG,1612296428
Horta,38.5333,-28.6333,53.6,71,40,23.02,PT,1612296429
Harindānga,22.0383,88.3214,59,67,0,4.68,IN,1612296429
Santa Cruz de la Sierra,-17.8,-63.1667,86,78,75,16.11,BO,1612296429
Karratha,-20.7377,116.8463,81.12,82,75,15.55,AU,1612296429
Amga,60.8953,131.9608,-38.9,79,100,4.41,RU,1612296251
Camaná,-16.6228,-72.7111,74.93,62,65,8.32,PE,1612296429
Bafatá,12.1667,-14.75,77.99,58,40,7.25,GW,1612296429
Sioux City,42.5,-96.4003,24.8,86,90,12.66,US,1612296137
Kiryat Gat,31.61,34.7642,66,57,29,5.99,IL,1612296305
Port Hardy,50.6996,-127.4199,41,93,75,4.61,CA,1612296178
Taoudenni,22.6783,-3.9836,75.16,19,100,11.36,ML,1612296430
Dvinskoy,62.1535,45.1175,14.27,96,96,7.34,RU,1612296430
Sebastian,35.1668,-94.2669,53.6,40,1,5.75,US,1612296239
Banikoara,11.2985,2.4386,80.02,16,0,4.88,BJ,1612296430
Turbat,26.0023,63.044,62.74,28,0,4.32,PK,1612296212
Ancud,-41.8697,-73.8203,69.8,56,0,8.05,CL,1612296430
Laas,46.6166,10.7002,35.01,86,0,3.62,IT,1612296431
Aykhal,66.0,111.5,-30.77,82,100,10.25,RU,1612296260
Rivadavia,-33.1905,-68.4608,71.6,43,40,5.75,AR,1612296431
Adrar,20.5022,-10.0711,74.32,19,85,8.93,MR,1612296431
Pokhara,28.2333,83.9833,51.22,44,0,4.61,NP,1612296431
Ubari,26.5921,12.7805,54.77,43,0,5.46,LY,1612296431
Puyang,29.4603,119.8861,46,36,92,2.44,CN,1612296387
Viedma,-40.8135,-62.9967,87.01,22,90,1.01,AR,1612296431
Ambovombe,-25.1667,46.0833,78.89,86,0,15.3,MG,1612296432
Baykit,61.67,96.37,-7.87,86,100,3.02,RU,1612296432
Khovd,48.0056,91.6419,4.96,85,85,1.41,MN,1612296432
Sibolga,1.7427,98.7792,75.79,83,99,4.34,ID,1612296432
Muros,42.7762,-9.0603,57.99,84,100,10,ES,1612296432
Port-Cartier,50.0334,-66.8654,28,63,100,5.75,CA,1612296432
Raton,36.9034,-104.4391,62.6,19,1,2.46,US,1612296432
Kommunar,59.6206,30.39,24.8,86,90,6.71,RU,1612296432
Pāsighāt,28.0667,95.3333,58.53,46,0,3.85,IN,1612296432
Sibu,2.3,111.8167,75.2,100,40,1.14,MY,1612296433
Qui Nhon,13.7667,109.2333,71.1,88,69,10.56,VN,1612296171
Río Gallegos,-51.6226,-69.2181,78.8,34,75,24.16,AR,1612296433
Assiniboia,49.6334,-105.9845,42.8,49,89,8.05,CA,1612296301
Eureka,40.8021,-124.1637,53.01,73,98,1.01,US,1612296192
Brae,60.3964,-1.353,37.4,70,90,19.57,GB,1612296433
Bonavista,48.6499,-53.1147,28,86,83,2.3,CA,1612296434
Hvolsvollur,63.7533,-20.2243,35.6,75,20,32.21,IS,1612296434
Tirumullaivāsal,11.2333,79.8333,76.01,78,15,12.35,IN,1612296434
Poum,-20.2333,164.0167,77.04,82,100,25.23,NC,1612296434
Samarai,-10.6167,150.6667,81.32,77,91,9.82,PG,1612296434
San Matías,-16.3667,-58.4,94.84,46,100,3.8,BO,1612296434
Aberdeen,57.1437,-2.0981,37.4,81,75,17.27,GB,1612296325
Bontang,0.1333,117.5,77.79,87,100,6.85,ID,1612296434
Ozernovskiy,51.5,156.5167,23.29,93,13,8.12,RU,1612296434
Alta Floresta,-9.8756,-56.0861,85.1,76,100,4.45,BR,1612296435
Makaha,21.4694,-158.2175,68,100,90,3.44,US,1612296435
Buraidah,26.326,43.975,66.2,45,0,9.22,SA,1612296393
Itoman,26.1247,127.6694,60.8,59,40,14.97,JP,1612296435
Cockburn Town,21.4612,-71.1419,80.6,69,40,13.8,TC,1612296435
Pacasmayo,-7.4006,-79.5714,74.68,67,4,14.09,PE,1612296435
Oga,46.4631,10.347,44.01,93,20,4.61,IT,1612296435
Shache,38.4167,77.2406,28.42,77,100,2.57,CN,1612296435
Bani Walid,31.7566,13.9942,55.76,61,0,8.55,LY,1612296436
Toledo,39.8333,-4.0,53.01,79,59,8.01,ES,1612296430
Zverinogolovskoye,54.4586,64.8542,34.09,95,100,19.42,RU,1612296436
Nyrob,60.733,56.7202,13.17,96,100,6.67,RU,1612296436
Huron,41.1501,-82.5499,28.99,80,100,5.99,US,1612296436
Plouzané,48.3833,-4.6167,51.8,87,75,19.57,FR,1612296436
Clarence Town,-32.5833,151.7833,64,94,74,5.75,AU,1612296436
Olinda,-8.0089,-34.8553,80.6,61,20,11.5,BR,1612296436
Dajal,29.5577,70.3762,58.06,34,0,6.22,PK,1612296437
Balabac,7.9868,117.0645,79.3,83,100,9.24,PH,1612296437
Fort Nelson,58.8053,-122.7002,-7.6,71,90,8.05,CA,1612296437
Xingyi,24.1877,102.817,45.66,92,0,2.33,CN,1612296437
Devils Lake,48.1128,-98.8651,21,100,90,21.85,US,1612296437
Krasne,49.9145,24.6134,33.8,93,87,6.71,UA,1612296437
Te Anau,-45.4167,167.7167,55.78,87,100,2.06,NZ,1612296437
Dakar,14.6937,-17.4441,69.8,78,0,9.22,SN,1612296437
Broken Hill,-31.95,141.4333,57.2,47,0,6.91,AU,1612296437
Humaitá,-7.5061,-63.0208,80.28,91,100,2.73,BR,1612296438
Aranda de Duero,41.6704,-3.6892,45.46,85,15,6.49,ES,1612296438
Ouadda,8.0777,22.4007,80.56,21,60,3.44,CF,1612296438
Riviere-au-Renard,48.9957,-64.3971,28.4,86,90,13.8,CA,1612296438
Ubatuba,-23.4339,-45.0711,87.8,48,75,2.3,BR,1612296438
Mount Hagen,-5.8581,144.2274,60.19,92,100,1.25,PG,1612296438
Kudahuvadhoo,2.6708,72.8944,81.95,74,100,12.44,MV,1612296438
Chubbuck,42.9208,-112.4661,51.8,37,40,21.85,US,1612296439
Qaryat Sulūq,31.6682,20.2521,57.54,69,35,4.5,LY,1612296439
Port Macquarie,-31.4333,152.9167,64.99,90,4,1.99,AU,1612296416
São Sebastião,-23.76,-45.4097,83.57,64,0,2.3,BR,1612296438
Leshukonskoye,64.8989,45.7622,14.2,96,100,8.95,RU,1612296439
